Series Name,"Time","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czechia","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Eswatini","Ethiopia","Faroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. People's Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao SAR, China","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Martin (French part)","St. Vincent and the Grenadines","Sudan","Suriname","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkiye","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Viet Nam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe"
"Population, total","1970","10752971","2135479","13795915","27075","19860","6029700","64517","23842803","2534377","59106","12507000","7467086","5172050","179129","222555","67541860","241397","9040000","9655549","120905","3023443","55000","298894","4585693","3815561","592244","96369875","9581","133343","8489574","5611666","3497834","287262","6708525","6452787","21324000","10533","2067356","3667394","121003","9820481","818315000","20905254","242351","20151733","1396989","1855697","5477086","4412252","8869636","144739","640804","9858071","4928757","144379","68895","4475871","6172215","34781986","3619090","316955","1272748","1360076","442865","28308246","38416","527634","4606307","51724116","117891","597192","528731","4119900","78169289","8861895","26685","8792806","46400","98794","88300","5455197","4222374","591663","705261","4680812","2782753","3959000","10337910","204438","557501301","115228394","28449705","9811347","2957250","55298","2974000","53821850","1859091","103403000","1557374","12265305","11473087","57437","14996879","32240827","1238238","802786","2959900","2675283","2359164","2381791","1023481","1463563","1909177","21089","3139689","339171","247284","6639751","4625141","10306508","123243","6153587","302650","23969","1122198","826000","50289306","58989","2456514","24270","1293880","512407","15274351","8411676","27284112","754467","6663","12501285","13038526","112000","2810700","2444767","4669708","55569264","1656783","10143","3875763","670693","59290872","11366","1516188","2489059","2408787","13562371","37435586","32664300","8680431","2718000","118007","20250398","130404000","3896367","142771","18169","77583","6106191","4367744","6972000","53600","2778557","2074507","6260","4538223","1724891","172833","3720977","22368306","3342410","33814531","12388769","44968","103090","5802","98459","11305206","379918","8042801","6180877","6319199","2993019","13618192","35791728","554021","2197383","86484","988890","5047404","35540990","2201432","5665","5814","10317212","47279086","298084","55663250","205052000","2790265","12011361","87019","11355475","41928849","63476","..","6843607","4281671","5202918"
"Population, total","1971","11015857","2187853","14110271","27593","21322","6177049","64769","24223379","2590923","58816","12937000","7500482","5282950","184435","230992","68376204","242350","9115576","9673162","123091","3088381","54600","308837","4688267","3859242","604139","98766288","9813","138666","8536395","5707793","3582070","293505","6696324","6627350","21962032","11117","2111224","3742534","122162","9984378","841105000","21405413","249066","20712952","1440159","1905486","5718867","4431275","9025709","147389","644413","9826815","4963126","154225","69430","4599841","6350944","35555969","3708010","311952","1306234","1376955","454913","29099594","38861","538000","4612124","52185222","122108","609693","544317","4163000","78312842","9108878","27069","8831036","47200","98535","90505","5589563","4298087","594501","713904","4766423","2867501","4045300","10367537","206098","569999178","118347135","29273682","10154928","2992050","56431","3069000","54073490","1886143","105697000","1636320","12444338","11898457","58535","15381626","32882704","1267634","858734","3022300","2740732","2376389","2442137","1059879","1501658","1958320","21517","3179041","342421","249832","6840457","4742480","10552557","127066","6247878","302700","24680","1156361","839230","51897675","60673","2483032","24610","1327781","515449","15677300","8622890","27914953","776995","6778","12774870","13194497","120000","2853000","2525481","4797068","56837614","1679012","11279","3903039","688803","60878781","11740","1559072","2549315","2463777","13911968","38421746","32783500","8643756","2762190","133096","20461567","131155000","4015403","145064","18212","79226","6396658","4498616","7013000","54695","2832392","2112900","6736","4557449","1738335","177264","3818389","23031441","3396808","34224490","12654651","44583","104781","5957","99699","11668921","392026","8098334","6213399","6538526","3085961","14092218","36807997","563953","2267211","87904","1000130","5182040","36359957","2264434","5742","5854","10616338","47597756","344513","55896223","207661000","2805492","12370120","89796","11705674","42916624","70937","..","7024196","4399919","5363423"
"Population, total","1972","11286753","2243126","14439748","28063","22832","6364731","64695","24612794","2648048","58855","13177000","7544201","5391450","189181","243143","69346705","243458","9188968","9711115","125054","3156408","54200","319128","4793804","3901895","626601","101194394","9907","143886","8576200","5805283","3579195","296818","6766289","6809468","22218463","11778","2153613","3824399","123348","10145765","862030000","21898055","256187","21273409","1485274","1955547","5979984","4450564","9169289","147710","647620","9867632","4991596","165234","69870","4724801","6533630","36330768","3798109","305362","1340838","1392518","467512","29891328","39304","547918","4639657","52637888","126457","622289","560553","4205300","78688452","9365952","27323","8888628","48300","98225","92815","5723759","4372212","595950","721994","4853117","2956021","4123600","10398489","209137","582837973","121504145","30111574","10507315","3036850","57419","3148000","54381345","1915299","107188000","1704787","12611997","12322903","59606","15768363","33505406","1300787","913785","3088200","2808290","2395674","2505965","1097242","1540995","2012796","21873","3213622","346600","248669","7051090","4865978","10801619","130990","6347158","302450","25084","1191376","852053","53543436","62265","2509550","24889","1363835","521785","16081438","8860585","28551949","800610","6883","13052220","13328593","125500","2903900","2603182","4926318","58173834","1701498","12730","3933004","708045","62509565","12172","1602646","2610700","2521508","14292437","39412479","33055650","8630430","2817256","148338","20657957","131909000","4135579","147332","18575","80835","6724260","4633452","7053000","56029","2886642","2152400","7226","4596622","1752233","181876","3918220","23698507","3464715","34604469","12914457","44416","106457","6114","100843","12057260","397529","8122300","6260956","6768544","3180461","14595699","37834384","574014","2330704","89275","1013031","5320148","37188035","2328374","5896","5891","10885563","47974187","392368","56086065","209896000","2821086","12733242","92687","12061621","43906019","76319","..","7215835","4523581","5532842"
"Population, total","1973","11575305","2296752","14786469","28529","24393","6578230","64463","25020588","2706852","59365","13380000","7586115","5493900","193563","256632","71144818","244643","9257272","9741720","126875","3227380","53800","329800","4902248","3943152","657246","103666904","10018","149065","8620967","5907742","3571450","299191","6852360","6998688","22491777","12443","2195905","3912905","124465","10307842","881940000","22396318","263728","21853906","1532069","2006247","6257373","4470161","9297924","146912","650705","9922266","5021861","177327","70334","4851183","6720443","37120776","3890639","298050","1376516","1405951","480668","30694316","39746","557244","4666081","53053660","130883","635288","577488","4242500","78936666","9637197","27558","8929086","49000","97886","95100","5858466","4445207","603203","729865","4940710","3046715","4241600","10432055","212317","596107483","124709058","30981898","10872139","3085950","58325","3278000","54751406","1945320","108707000","1767414","12789985","12760405","60598","16128122","34103149","1335431","970527","3153800","2877561","2415819","2569841","1135631","1582697","2084256","22251","3244438","350450","247838","7268560","4996239","11062664","134940","6455257","302200","25522","1227358","864819","55228203","63889","2536068","25102","1402309","530220","16489452","9123668","29165356","824918","6990","13335963","13439322","128500","2961300","2682747","5059382","59605446","1725228","14094","3960612","728597","64285624","12541","1646580","2672144","2583160","14674785","40406234","33357200","8633100","2878786","163734","20835681","132669000","4259484","149587","19010","82472","7088758","4772039","7091000","56892","2942333","2193000","7750","4641445","1766697","186816","4022336","24382513","3542465","34988947","13169737","44242","108114","6278","101924","12469591","396331","8136312","6307347","7003114","3277487","15123504","38873060","584035","2390909","90611","1026563","5463650","38028236","2393323","6068","5934","11146099","48301548","441546","56194527","211909000","2836825","13107928","95687","12424804","44891281","84121","..","7417736","4653289","5712712"
"Population, total","1974","11869879","2350124","15153602","29012","26003","6802494","64218","25449754","2767646","60028","13723000","7599038","5594100","197767","270627","72947807","245851","9317584","9772419","128620","3301276","53400","340842","5013765","3983063","691569","106167372","10146","154314","8678745","6018141","3660032","301682","6913408","7194697","22807969","13118","2239305","4000559","125486","10472743","900350000","22897871","271719","22448415","1580280","2058235","6548923","4490660","9413105","148351","648585","9988459","5045297","191389","70822","4978582","6911123","37930374","3984049","290558","1413220","1418169","494624","31488613","40189","566296","4690574","53415250","135349","648922","594904","4279500","78967433","9918979","27779","8962022","49500","97528","97329","5994300","4517073","623576","737701","5030652","3136539","4377800","10478720","215209","609721951","127945196","31895534","11243146","3137500","59179","3377000","55110868","1974880","110162000","1827584","12972497","13203949","60953","16437002","34692266","1370857","1030426","3223900","2946882","2437186","2632880","1175369","1626283","2179446","22638","3273894","355050","247280","7491935","5134199","11335187","138944","6569273","301996","26174","1264352","878042","56945880","65552","2563389","25262","1443130","538902","16902383","9404221","29751936","850091","7096","13626301","13545056","131000","3023700","2769211","5196579","61157931","1749329","14905","3985258","754676","66149169","12662","1690676","2733313","2648082","15057175","41388324","33678899","8754365","2939299","179299","21029429","133432000","4386369","152240","19439","84189","7483506","4911421","7128000","57937","2998843","2229800","8312","4689623","1776132","192155","4125823","25077016","3629608","35373335","13418276","44056","109740","6447","102951","12950962","394519","8159955","6341405","7244901","3377758","15671316","39900961","592277","2450335","92007","1040291","5613116","38863420","2459325","6249","6100","11428676","48602694","491955","56229974","213854000","2853588","13494711","98790","12796220","45898698","89941","..","7630190","4789038","5903530"
"Population, total","1975","12157386","2404831","15724692","29573","27640","7032713","64035","25875558","2830798","60715","13893000","7578903","5689050","201881","285116","74700345","247090","9367000","9800700","130801","3378703","53000","352269","5127776","4022090","727930","108700515","10282","159653","8720742","6138444","3749232","304375","6727922","7397417","23143275","13791","2283927","4084110","126393","10639531","916395000","23403731","280036","23052715","1624935","2111850","6853981","4512082","9514305","149129","644982","10058620","5059862","208582","71300","5106453","7105786","38775584","4076751","283262","1450867","1429352","509535","32252783","40626","575804","4711440","53715733","139833","663340","612909","4311200","78673554","10209848","27973","9046541","49600","97165","99478","6131151","4588006","659635","745590","5124560","3231631","4461600","10540525","217979","623524219","131213215","32856976","11617622","3189550","59949","3455000","55441001","2003094","111573000","1886636","13158942","13651908","60675","16723252","35280725","1406891","1095998","3292400","3012720","2456130","2691586","1216180","1671632","2291841","23030","3301652","358950","246919","7720859","5280965","11617947","143126","6687293","304222","27047","1302436","892000","58691882","67121","2590711","25524","1485691","546487","17325325","9703732","30344276","876572","7199","13925541","13666335","132500","3083100","2857461","5339497","62851312","1774013","15269","4007313","787194","68126999","12607","1734876","2794462","2714664","15441497","42394433","34015199","9093470","2994000","195043","21293583","134200000","4515756","155263","19803","86037","7897544","5047922","7163000","59292","3055916","2262600","8906","4739105","1793581","197853","4228289","25777964","3718279","35757900","13662873","43888","111497","6656","103879","13497543","392137","8192437","6338632","7497126","3482125","16243826","40908471","600126","2509713","93477","1054017","5769074","39673590","2525760","6451","6381","11730959","48892187","543394","56225800","215973000","2871947","13894347","102010","13176387","46969616","94484","..","7855657","4931249","6097083"
"Population, total","1976","12425267","2458526","16500516","30198","29294","7266780","63990","26290257","2896311","61193","14033000","7565525","5781000","206096","300044","76380080","248359","9411000","9818227","133471","3460329","53200","364119","5244355","4060039","766424","111286504","10428","165064","8758599","6269765","3830889","307015","6307122","7598028","23449808","14456","2318349","4163051","127052","10804869","930685000","23913002","288810","23655016","1665418","2167544","7142690","4535934","9600862","149399","648868","10125939","5072596","229304","71748","5235318","7304349","39649050","4166890","276000","1489656","1439576","525457","33062216","41054","586607","4725664","53966558","144356","678660","631894","4342400","78336950","10509006","28162","9188150","49700","96781","101590","6269983","4658743","701016","753553","5222342","3334814","4518000","10598677","220154","637451448","134521025","33841060","11999342","3238050","60701","3533000","55718260","2029486","112775000","1945141","13346173","14102268","60310","16987170","35848523","1443492","1168791","3358700","3072017","2470989","3070419","1256478","1718482","2413760","23416","3328664","360731","246661","7955197","5438226","11910081","147468","6807648","305774","27964","1341604","906507","60452543","68602","2618032","25898","1529084","552562","17756516","10019210","30941375","901840","7306","14230738","13774037","134000","3110500","2947454","5488658","64658315","1799332","15595","4026152","824081","70230923","12539","1779037","2855837","2782624","15826813","43474370","34356300","9355810","3043854","210990","21551634","135147000","4648207","158136","20160","88078","8319556","5181195","7214000","60504","3112863","2293300","9523","4789507","1820249","204082","4333779","26480300","3808615","36137812","13910170","43740","113421","6896","104709","14066007","389231","8222286","6302504","7758673","3590606","16838919","41882128","609650","2569671","94921","1067696","5929998","40500997","2592280","6668","6677","12045227","49144535","614177","56211968","218035000","2891094","14307397","105341","13566112","48163573","96166","..","8094985","5079672","6288387"
"Population, total","1977","12687301","2513546","17134192","30816","30949","7511895","64117","26713780","2965523","61465","14192000","7568430","5876150","210534","315337","78137788","249663","9463000","9830358","136183","3546454","53400","376387","5363917","4096516","806968","113939886","10578","170560","8804183","6416569","3927428","309389","6040197","7796825","23725843","15116","2342048","4238551","127425","10969861","943455000","24443926","298152","24256464","1706181","2225630","7415900","4559571","9672546","149459","656414","10186755","5088419","253083","72142","5365074","7506665","40577356","4256699","271377","1529802","1450211","542328","33695018","41481","599289","4738902","54221988","149007","694931","651934","4372100","78159814","10825496","28337","9308479","49400","96329","103676","6412667","4730375","746588","761378","5323827","3441122","4583700","10648031","221799","651685628","137861540","34876497","12400190","3282200","61506","3613000","55955411","2054927","113872000","2005418","13543521","14577346","59894","17231389","36411795","1480318","1247225","3423900","3125742","2485073","3457617","1294435","1768092","2541805","23803","3355036","361358","246405","8195142","5611712","12218924","151792","6935336","306970","28912","1381329","921379","62262505","70144","2643746","26242","1572516","557576","18206472","10363575","31554598","926109","7441","14550430","13856185","136000","3120200","3038680","5644703","66589655","1825299","15901","4043205","866124","72451105","12463","1823146","2917572","2852430","16224613","44646518","34689050","9455675","3088690","227177","21756096","136100000","4783252","160362","20482","90299","8755219","5308297","7258000","61786","3172195","2325300","10172","4840501","1842377","210932","4449505","27199838","3901044","36511638","14159052","43603","115385","7131","105499","14667218","385810","8251540","6281174","8029313","3703010","17454627","42843802","619308","2630626","95847","1081693","6092769","41385656","2659019","6885","6984","12369253","49357430","706861","56193492","220239000","2909327","14731709","108769","13965250","49418150","93203","..","8348182","5233292","6453044"
"Population, total","1978","12938862","2566266","17632645","31428","32574","7771590","64329","27146121","3038224","61738","14358000","7562305","5976150","215016","330912","80007550","251009","9525000","9839534","138933","3636927","53600","389072","5486132","4131521","849394","116664382","10727","176176","8814032","6577779","4039410","311685","5961193","8013279","23963203","15746","2365957","4313479","127667","11137748","956165000","25003608","307938","25015244","1747207","2286210","7700816","4581085","9729986","148341","663975","10242098","5104248","278425","72478","5495443","7712718","41576636","4346522","270866","1571193","1460188","560236","34259065","41965","613611","4752528","54486195","153745","712135","672974","4397700","78091820","11163230","28485","9429959","49200","95811","105710","6561919","4804926","794328","768609","5428667","3550368","4667500","10684822","223537","666267760","141250964","35993661","12819707","3329100","62333","3690000","56155143","2080485","114913000","2069104","13750291","15087423","59465","17472094","36969185","1516206","1329074","3487100","3177945","2497921","3183405","1331213","1820861","2676117","24205","3379514","362007","246048","8440919","5808810","12543892","156025","7072938","310182","29892","1421786","933499","64123997","71983","2668657","26553","1615868","562065","18679859","10741128","32185601","942023","7541","14888770","13941700","137500","3121200","3128544","5810351","68633344","1851978","16194","4058671","912750","74789330","12387","1867313","2979606","2924370","16638480","45890739","34965600","9558250","3129421","243624","21951464","137060000","4921953","161988","20795","92659","9210564","5433225","7297000","62150","3235170","2353600","10850","4890125","1862548","218193","4777703","27943445","3995911","36864898","14414816","43465","117397","7357","106236","15305806","381885","8275599","6281738","8310217","3818114","18080005","43806715","627671","2693400","96227","1096569","6254876","42292206","2726327","7110","7297","12701999","49536615","805231","56196504","222585000","2925840","15154314","112185","14372959","50701458","95929","..","8615301","5391355","6549349"
"Population, total","1979","12986369","2617832","18166981","32045","34142","8043218","64609","27584134","3097058","62006","14514000","7549425","6071300","219426","346697","81908151","252334","9584000","9848382","141823","3732394","53800","402063","5610380","4165511","893500","119447303","10876","181951","8825940","6749939","4137437","313995","6051808","8243377","24201544","16378","2390329","4402942","127850","11304331","969005000","25579323","318123","25902760","1788218","2349258","7996368","4594778","9774711","147851","671611","10292341","5116801","302856","72768","5625864","7922490","42632458","4433041","273925","1613829","1468333","579091","34758823","42506","628859","4764690","54753575","158563","730188","695155","4430200","78126350","11515675","28618","9548258","49600","95242","107790","6720582","4885199","821598","774482","5536423","3662736","4929700","10704152","225735","681248383","144693087","37205013","13233830","3373750","63172","3786000","56317749","2106937","115890000","2138078","13957795","15620613","59775","17719172","37534236","1551605","1412266","3552000","3233700","2505953","2902164","1368917","1875566","2816917","24616","3397842","362856","245605","8692289","6029140","12875011","160326","7218079","313342","30902","1463514","949888","65972912","74114","2692764","26834","1657448","566888","19167661","11127844","32821779","957334","7586","15238564","14038270","138500","3109000","3214311","5987151","70750307","1879354","16494","4072517","963351","77407341","12300","1911814","3041902","2999415","17059185","47154232","35247217","9661265","3168088","260368","22090488","138027000","5074374","163489","21087","95017","9682002","5564474","7332000","62686","3300032","2383500","11542","4938973","1882599","225786","5408813","28697014","4092792","37191330","14680387","43278","119463","7572","106882","15973034","377362","8293678","6294365","8600747","3932682","18698636","44760091","634549","2761240","96506","1112310","6416191","43187476","2794392","7332","7552","13011511","49739734","908452","56246951","225055000","2940729","15558907","115344","14788523","51831389","96183","..","8899922","5553462","6655833"
"Population, total","1980","12486631","2671997","18739378","32886","35611","8330047","64889","28024803","3135123","62267","14692000","7549433","6160500","223752","362595","83929765","253575","9643000","9859242","145133","3833939","54670","415257","5736088","4199820","938578","122288383","11109","187921","8861535","6932967","4312834","317234","6198959","8519891","24515667","17100","2415276","4408230","127984","11469828","981235000","26176195","328328","26708686","1829256","2414303","8303810","4599782","9809107","148041","679327","10304193","5123027","324121","72978","5755800","8135845","43748556","4508992","282509","1657982","1477219","598564","34945469","43054","644582","4779535","55052582","163591","749078","718586","4467700","78288576","11865246","28734","9642505","50200","94838","110286","6890346","4972609","831462","778176","5646676","3777990","5063100","10711122","228138","696828385","148177096","38520664","13653369","3412800","64022","3878000","56433883","2135546","116807000","2216903","14172710","16187124","60813","17973650","38123775","1589395","1493870","3617400","3297519","2511701","2963702","1407672","1932169","2962720","25003","3413202","364150","245332","8948162","6267369","13215707","164887","7372581","316645","31988","1506694","966039","67705186","76299","2716068","27076","1697780","572608","19678444","11413587","33465781","975994","7635","15600442","14149800","140050","3112900","3303309","6173177","72951439","1907023","17613","4085620","1017462","80624057","12252","1956987","3104788","3078912","17492406","48419546","35574150","9766312","3206000","277450","22207282","139010000","5247532","164905","21346","97210","10171710","5703869","7362000","63261","3367477","2413945","12243","4979815","1901315","233668","5892224","29463549","4192012","37491165","14943645","43097","121633","7776","107480","16673586","375112","8310531","6319408","8898954","4045965","19297659","45737753","642224","2838110","96708","1127852","6578156","44089069","2862903","7598","7731","13284026","49973920","1014048","56314216","227225000","2953750","15947129","118156","15210443","52968270","99636","..","9204938","5720438","7049926"
"Population, total","1981","11155195","2726056","19351357","34059","36987","8631457","65076","28471285","3167876","62614","14923260","7568710","6257750","227956","377430","86154836","254684","9710000","9858982","148764","3941569","55050","428641","5862990","4235970","982747","125168060","11472","194099","8891117","7123730","4490743","321634","6364472","8829048","24819915","17904","2441010","4409225","128510","11637613","993885000","26785982","337986","27457783","1870540","2481334","8621621","4611509","9848560","148629","687170","10300591","5121572","341316","72932","5885244","8352602","44899573","4549173","296950","1703789","1487666","616210","35818844","43613","660630","4799964","55371044","168892","768904","742846","4504500","78407907","12212960","28819","9729350","51000","95222","113221","7071186","5067427","844957","779686","5760197","3895736","5183400","10711848","230755","712869298","151686337","40476251","14067260","3453000","64558","3956000","56501675","2166657","117661000","2306655","14397391","16785962","61875","18235202","38723248","1627819","1573026","3685800","3370993","2519421","3027222","1447501","1989690","3112015","25346","3432947","365225","248695","9207310","6519891","13564594","169663","7532864","318982","33219","1551687","980462","69233769","78531","2740175","27284","1739221","579445","20208260","11640015","34110098","987394","7691","15969792","14247208","142650","3124900","3397659","6366262","75175387","1935200","19902","4099702","1075624","84270202","12386","2003092","3169073","3163299","17932344","49679330","35898587","9851362","3242552","294887","22353070","139941000","5441966","166190","21596","99170","10678211","5852029","7405000","64035","3437108","2532835","13134","5016105","1906531","241827","5934938","30232561","4293866","37758631","15198918","42953","123909","7963","108191","17404336","375859","8320503","6354074","9203635","4160745","19890930","46727292","649250","2925865","96846","1142695","6744050","44981877","2932934","7957","7874","13563558","50221000","1100180","56333829","229466000","2966076","16335642","120887","15638426","54280394","99853","..","9529105","5897481","7506526"
"Population, total","1982","10088289","2784278","20000096","35367","38598","8947152","65231","28922762","3202011","63116","15184247","7574140","6357550","232177","391017","88555336","255642","9776000","9856303","152409","4054385","55449","442201","5991118","4274013","1023009","128065095","11889","200630","8917457","7321817","4602271","326319","6619699","9046986","25116942","18729","2467635","4622828","129614","11807408","1008630000","27405194","347053","28219219","1911634","2550780","8948119","4634234","9908874","150101","696227","10314826","5117810","355110","72626","6014979","8572607","46088647","4599904","315741","1751045","1498414","634439","37213393","44164","676967","4826933","55694106","174343","789585","768272","4542800","78333366","12584976","28863","9789513","51500","96534","116189","7262658","5170731","858630","779639","5877684","4015647","5264500","10705535","233860","729169466","155228658","42500030","14467682","3485800","64654","4031000","56543548","2199606","118480000","2406349","14634179","17411491","62977","18502087","39326352","1665977","1652921","3759300","3453691","2531080","3070133","1488399","2047602","3265457","25689","3457179","365525","256692","9470990","6784347","13921029","174523","7696349","325898","34569","1598332","992521","70656783","80816","2765889","27573","1781797","587001","20746765","11901827","34742586","1005520","7672","16347124","14312690","145700","3156100","3491906","6564445","77388067","1958275","22647","4114787","1138301","87828198","12666","2050247","3235264","3251678","18374372","50938522","36230481","9911771","3277453","312608","22475741","140823000","5652900","166885","21804","100931","11201154","6008392","7440000","64413","3509197","2646466","14418","5055099","1910334","250250","5951805","31022417","4398297","37986012","15438753","42794","126194","8957","108974","18128631","377288","8325263","6391309","9510754","4278908","20499922","47700340","655112","3023343","96931","1157140","6914963","45949991","3005972","8355","7993","13880052","50384000","1167856","56313641","231664000","2979182","16735643","123748","16071654","55632153","100068","..","9872292","6090818","7803855"
"Population, total","1983","9951449","2843960","20682111","36735","40432","9276707","65408","29377137","3238291","63683","15393472","7561910","6459800","236586","404772","91045478","256505","9843000","9855520","156053","4171526","55930","456033","6120620","4312521","1060717","130977370","12315","207523","8939738","7531184","4726506","330971","6881962","9240672","25366451","19572","2495097","4859173","130881","11976513","1023310000","28042329","356137","29005175","1951851","2622532","9282050","4658254","9984591","151159","707477","10323856","5114297","367726","72269","6147213","8795873","47353665","4689680","336744","1799814","1508745","655505","38235187","44669","693593","4855787","55992656","179042","811098","795563","4582900","78128282","12984131","28855","9846627","52100","98177","119067","7462585","5282274","872394","778372","5997739","4137784","5345100","10689463","236977","745826546","158790611","44027986","14903737","3510600","64598","4105000","56564074","2232782","119307000","2514785","14885966","18069461","64121","18771363","39910403","1706004","1736028","3838300","3543861","2546011","3106990","1530331","2109151","3423592","26055","3485192","365622","266253","9740088","7058317","14292862","179339","7863944","330524","35975","1646343","1001691","72080310","83153","2792407","27985","1825773","594506","21287381","12163328","35424262","1033085","7832","16740664","14367070","148700","3199300","3584610","6766606","79351586","1974441","25594","4128432","1204626","91080372","12973","2098499","3303677","3343276","18826906","52219685","36571808","9957865","3311138","330454","22560478","141668000","5859396","166944","21973","102650","11746020","6171874","7468000","64335","3585773","2681061","15927","5091971","1922321","258945","6142513","31865176","4502541","38171525","15658442","42600","128440","10992","109684","18733995","379409","8329033","6418773","9835461","4401502","21170717","48670565","662412","3126635","96981","1171273","7091270","47026425","3082202","8758","8099","14228932","50564000","1237572","56332848","233792000","2993285","17152857","126743","16509596","57011444","100348","..","10237391","6291070","8106356"
"Population, total","1984","10243686","2904429","21393530","38168","42181","9617702","65362","29832197","3272102","64174","15579391","7561434","6567850","241166","419217","93534239","257279","9910000","9855372","159721","4293070","56423","470165","6251926","4349597","1099170","133888775","12753","214682","8960679","7751476","4842268","335473","7133899","9508570","25607053","20433","2523538","4920556","132154","12147758","1036825000","28689032","365664","29879852","2001739","2696200","9621405","4680285","10065539","151940","719678","10330213","5111619","382156","71936","6282104","9022979","48676443","4782219","357995","1849594","1518617","677303","39202890","45135","710561","4881803","56275701","183146","833417","824798","4622200","77858685","13342487","28788","9895801","52700","99618","121885","7669863","5402084","886210","776007","6119932","4261919","5397900","10668095","239511","762895156","162331962","45628402","15377032","3532423","64500","4159000","56576718","2264095","120083000","2629939","15147590","18753176","65338","19045154","40405956","1746874","1813986","3916400","3639956","2562047","3163558","1573267","2174194","3564547","26420","3514205","365998","276591","10015017","7339002","14686454","184388","8030099","330593","37437","1695675","1012221","73489654","85543","2819728","28407","1871652","600884","21817271","12426223","36159838","1061995","8125","17141610","14424211","151650","3227100","3674501","6973849","81337553","1988682","28735","4140099","1273306","94003867","13299","2147577","3374465","3437892","19285646","53514959","36904134","9996232","3344190","348241","22640547","142745000","6056729","166779","22096","104497","12310361","6341801","7489000","64717","3666262","2732221","17474","5127097","1932154","267913","6369020","32768207","4603039","38330364","15872577","42380","130625","13299","110329","19165837","382617","8336605","6441865","10183138","4529501","21857176","49636724","671373","3232244","97022","1184747","7279157","48106764","3162165","9166","8197","14617944","50754000","1308331","56422072","235825000","3008255","17594364","129873","16953234","58406863","100600","..","10625687","6488072","8398567"
